,unix,symbol,open,high,low,close,Volume USD
366,2020-01-20,LTC/USD,57.31,58.11,55.67,57.25,888571.4
367,2020-01-19,LTC/USD,59.29,62.43,55.28,57.65,1886355.96
368,2020-01-18,LTC/USD,61.02,62.39,57.98,59.18,1919145.56
369,2020-01-17,LTC/USD,57.68,63.31,56.71,61.08,3309392.49
370,2020-01-16,LTC/USD,58.33,58.33,54.72,57.72,1277998.43
371,2020-01-15,LTC/USD,58.12,60.39,55.36,58.01,2140952.1
372,2020-01-14,LTC/USD,49.53,60.79,49.51,58.61,5108077.54
373,2020-01-13,LTC/USD,51.45,51.47,48.88,49.51,1761027.54
374,2020-01-12,LTC/USD,49.39,51.61,48.81,51.33,820254.94
375,2020-01-11,LTC/USD,48.97,51.91,47.79,49.34,1964774.69
376,2020-01-10,LTC/USD,44.91,49.67,43.73,49.22,1669463.51
377,2020-01-09,LTC/USD,45.15,45.79,43.91,44.88,1239680.25
378,2020-01-08,LTC/USD,46.5,48.62,44.11,45.32,2939876.37
379,2020-01-07,LTC/USD,45.89,46.94,44.47,46.39,2508133.21
380,2020-01-06,LTC/USD,43.24,46.12,43.16,45.82,834949.6
381,2020-01-05,LTC/USD,42.83,44.5,42.58,43.25,265969.07
382,2020-01-04,LTC/USD,42.25,42.8,41.74,42.79,757152.01
383,2020-01-03,LTC/USD,39.29,42.35,38.61,42.15,1743134.45
384,2020-01-02,LTC/USD,41.5,41.61,38.97,39.28,528880.36
385,2020-01-01,LTC/USD,41.09,41.97,41.0,41.39,132565.55
386,2019-12-31,LTC/USD,42.17,42.87,40.85,41.09,648056.84
387,2019-12-30,LTC/USD,42.97,44.02,41.75,42.26,1110166.8
388,2019-12-29,LTC/USD,42.76,43.73,42.01,43.06,1433563.67
389,2019-12-28,LTC/USD,40.87,43.68,40.86,42.69,2027454.8
390,2019-12-27,LTC/USD,39.9,41.19,39.6,40.94,291015.11
391,2019-12-26,LTC/USD,39.88,41.62,39.6,39.85,292639.99
392,2019-12-25,LTC/USD,40.25,40.38,39.56,40.04,81654.33
393,2019-12-24,LTC/USD,40.55,41.09,39.71,40.31,528117.55
